URN,LA (name),LA (code),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (name),NurseryProvision (name),OfficialSixthForm (name),Gender (name),ReligiousCharacter (name),ReligiousEthos (name),Diocese (name),AdmissionsPolicy (name),TrustSchoolFlag (name),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (name),UKPRN,FurtherEducationType (name),Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,Rand
138133,Wiltshire,865,2006,The Mead Community Primary School,Academy converter,Open,01/05/2012,,Primary,2,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,Linked to a sponsor,The Mead Academy Trust,Not applicable,,10037236,Not applicable,Hackett Place,Hilperton,,Trowbridge,Wiltshire,BA14 7GN,www.themead.wilts.sch.uk,1225759273,,Emma,Holton,19
137433,Suffolk,935,7000,Priory School,Academy special converter,Open,01/09/2011,,Not applicable,7,19,Boarding school,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,-,,Not applicable,,10035159,Not applicable,Mount Road,,,Bury St Edmunds,Suffolk,IP32 7BH,http://www.priory.suffolk.sch.uk/,1284761934,Mr,Lawrence,Chapman,40
140499,Cambridgeshire,873,5201,Park Lane Primary & Nursery School,Academy converter,Open,01/01/2014,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,None,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,-,,Not applicable,,10044539,Not applicable,Park Lane,Whittlesey,,Peterborough,Cambridgeshire,PE7 1JB,www.parklane.cambs.sch.uk,1733203433,Mr,Rob,Litten,67
144267,York,816,2027,Woodthorpe Primary School,Academy converter,Open,01/10/2017,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,-,,Not applicable,,10065309,Not applicable,Summerfield Road,Woodthorpe,,York,North Yorkshire,YO24 2RU,www.woodthorpeprimaryschool.co.uk/,1904554420,Mr,James,McGann,83
144274,North Yorkshire,815,3154,Filey Church of England Nursery and Infants Academy,Academy converter,Open,01/04/2017,,Primary,3,7,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of York,Not applicable,Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,-,,Not applicable,,10063396,Not applicable,Padbury Avenue,,,Filey,North Yorkshire,YO14 0BA,fileyinfants.ebor.academy,1723513077,Mrs,Denise,Crosier,86
144830,Bath and North East Somerset,800,2259,Midsomer Norton Primary School,Academy converter,Open,01/09/2017,,Primary,2,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,Linked to a sponsor,Midsomer Norton Schools Partnership,Not applicable,,10064855,Not applicable,High Street,Midsomer Norton,,Radstock,Somerset,BA3 2DR,www.midsomernortonprimary.com,1761412289,Mr,A,Randell,56
143554,Wirral,344,4001,"St Mary's Catholic College, A Voluntary Academy",Academy sponsor led,Open,01/11/2016,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Roman Catholic,,Diocese of Shrewsbury,Comprehensive (secondary),Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,Linked to a sponsor,Holy Family Catholic Multi Academy Trust,Not applicable,,10061777,,Wallasey Village,,,Wallasey,Merseyside,CH45 3LN,,1516397531,Mr,Anthony,Boyle,84
140648,Bromley,305,2027,St John's Church of England Primary School,Academy sponsor led,Open,01/04/2014,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,None,Diocese of Rochester,,Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,Linked to a sponsor,Aquinas Church of England Education Trust Ltd,Not applicable,,10045207,Not applicable,Maple Road,Penge,,London,,SE20 8HU,www.st-johns.bromley.sch.uk/,2087785066,Ms,Sharon,Rutherford,50
138076,Nottinghamshire,891,4456,The Elizabethan Academy,Academy converter,Open,01/04/2012,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Comprehensive (secondary),Supported by a single-academy trust,Focus Academy Trust (UK) Ltd,-,,Not applicable,,10037017,Not applicable,Hallcroft Road,,,Retford,Nottinghamshire,DN22 7PY,http://www.elizabethan.notts.sch.uk,1777713700,,Christine,Horrocks,94
137656,Hertfordshire,919,4140,Meridian School,Academy converter,Open,01/11/2011,,Secondary,13,18,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,-,,Not applicable,,10035748,Not applicable,Garden Walk,,,Royston,Hertfordshire,SG8 7JH,http://www.meridian.herts.sch.uk/,1763242236,Miss,Kim,Horner,67
139060,Northamptonshire,928,4009,Lodge Park Academy,Academy sponsor led,Open,01/01/2013,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,None,None,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Focus Academy Trust (UK) Ltd,Linked to a sponsor,The David Ross Education Trust,Not applicable,,10039855,Not applicable,Shetland Way,,,Corby,Northamptonshire,NN17 2JH,www.lodgeparkacademy.co.uk,1536203817,Mr,Leo,Gilbert,5
136127,Derbyshire,830,6905,Shirebrook Academy,Academy sponsor led,Open,01/09/2010,,Secondary,11,16,No boarders,Not applicable,Not applicable,Mixed,Does not apply,None,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Aston Community Education Trust,Linked to a sponsor,Aston Community Education Trust (ACET),Not applicable,,10030457,Not applicable,Common Lane,Shirebrook,,Mansfield,Nottinghamshire,NG20 8QF,http://www.shirebrookacademy.org/,1623742722,Mr,Mark,Cottingham,82
136958,Lincolnshire,925,4049,Caistor Yarborough Academy,Academy converter,Open,01/08/2011,,Secondary,11,16,No boarders,Not applicable,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Modern (secondary),Supported by a single-academy trust,Aston Community Education Trust,-,,Not applicable,,10034616,Not applicable,Grimsby Road,Caistor,,Market Rasen,Lincolnshire,LN7 6QZ,http://www.caistoryarboroughacademy.org.uk/,1472851383,Mr,Mark,Midgley,62
138428,Gloucestershire,916,7000,Greenfield Academy,Academy special sponsor led,Open,01/09/2012,,Not applicable,11,16,,Not applicable,Not applicable,Mixed,None,None,Not applicable,Not applicable,Supported by a multi-academy trust,Aston Community Education Trust,Linked to a sponsor,The White Horse Federation,Not applicable,,10038372,Not applicable,Drake Lane,,,Dursley,Gloucestershire,GL11 5HD,,1453542130,Mr,Richard,Lewis,77
142378,Cambridgeshire,873,1109,TBAP Cambridge AP Academy,Academy alternative provision converter,Open,01/10/2015,,Not applicable,5,16,,Not applicable,Not applicable,Mixed,Does not apply,None,,,Supported by a multi-academy trust,Aston Community Education Trust,Linked to a sponsor,TBAP Trust,Not applicable,,10054166,Not applicable,Ascham Road,,,Cambridge,,CB4 2BD,Www.tbap.org.uk,1354750369,,Angela,Tempany,52
139573,Wakefield,384,2007,St Helen's CE Primary School,Academy sponsor led,Open,01/07/2013,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Church of England,None,Diocese of Leeds (ce),Not applicable,Supported by a multi-academy trust,Aston Community Education Trust,Linked to a sponsor,Enhance Academy Trust,Not applicable,,10041568,Not applicable,Highfield Road,Hemsworth,,Pontefract,West Yorkshire,WF9 4EG,www.st-helens.wakefield.sch.uk/,1977617955,Ms,Susan,Henderson,24
140295,Redbridge,317,3507,St Aidan's Catholic Primary Academy,Academy converter,Open,01/11/2013,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Diocese of Brentwood,Not applicable,Supported by a single-academy trust,Aston Community Education Trust,-,,Not applicable,,10043925,Not applicable,Benton Road,,,Ilford,Essex,IG1 4AS,www.staidansacademy.org/,2085905223,Mrs,Susan,Johnson,3
144336,Birmingham,330,7000,Hallmoor School,Academy special sponsor led,Open,01/04/2017,,Not applicable,4,19,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,,Not applicable,Not applicable,Supported by a multi-academy trust,Aston Community Education Trust,Linked to a sponsor,Forward Education Trust,Not applicable,,10063397,,50 Scholars Gate,Kitts Green,,Birmingham,West Midlands,B33 0DL,,1217833972,Mrs,Joanne,Edwards,60
141150,Oxfordshire,931,3420,"Holy Trinity Catholic School, Chipping Norton",Academy converter,Open,01/08/2014,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Birmingham,Not applicable,Supported by a multi-academy trust,Aston Community Education Trust,Linked to a sponsor,Pope Francis MAC (North Oxfordshire),Not applicable,,10046755,Not applicable,24 London Road,,,Chipping Norton,Oxfordshire,OX7 5AX,http://www.holy-trinity.oxon.sch.uk,1608643487,Mrs,Lorna,Buchanan,25
140579,Oldham,353,2097,Greenhill Academy,Academy converter,Open,01/02/2014,,Primary,2,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Aston Community Education Trust,Linked to a sponsor,The Harmony Trust,Not applicable,,10044826,Not applicable,Harmony Street,Glodwick,,Oldham,Greater Manchester,OL4 1RR,www.greenhill.theharmonytrust.org,1612600621,Mrs,Melanie,Eccles,22
138187,Croydon,306,4031,Woodcote High School,Academy converter,Open,01/06/2012,,Secondary,11,19,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Comprehensive (secondary),Supported by a single-academy trust,Aston Community Education Trust,-,,Not applicable,,10037475,Not applicable,Meadow Rise,,,Coulsdon,Surrey,CR5 2EH,www.woodcotehigh.com,2086686464,Mr,Mark,Southworth,42
141638,South Gloucestershire,803,2170,Charborough Road Primary School,Academy converter,Open,01/01/2015,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Aston Community Education Trust,Linked to a sponsor,The Olympus Academy Trust,Not applicable,,10048342,Not applicable,Charborough Road,Filton,,Bristol,South Gloucestershire,BS34 7RA,www.charboroughroadschool.co.uk/,1454867220,Mrs,Nicola,Bailey,43
142318,Wiltshire,865,3159,Seagry Church of England Primary School,Academy converter,Open,01/09/2015,,Primary,2,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Bristol,Not applicable,Supported by a multi-academy trust,Aston Community Education Trust,-,,Not applicable,,10053780,Not applicable,Upper Seagry,,,Chippenham,Wiltshire,SN15 5EX,http://www.seagry.wilts.sch.uk,1249720213,Mrs,Jill,Rowe,2
137928,Hounslow,313,5400,"Gumley House RC Convent School, FCJ",Academy converter,Open,01/03/2012,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Girls,Roman Catholic,Does not apply,Archdiocese of Westminster,Comprehensive (secondary),Supported by a single-academy trust,Aston Community Education Trust,-,,Not applicable,,10036711,Not applicable,St John's Road,,,Isleworth,,TW7 6XF,http://www.gumley.hounslow.sch.uk/,2085688692,Ms,Caroline,Braggs,30
138783,Lincolnshire,925,4002,King Edward VI Academy,Academy sponsor led,Open,01/09/2012,,Secondary,11,16,No boarders,Not applicable,Not applicable,Mixed,None,None,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Aston Community Education Trust,Linked to a sponsor,The David Ross Education Trust,Not applicable,,10038868,Not applicable,West End,,,Spilsby,Lincolnshire,PE23 5EW,www.kingedwardacademy.co.uk,1790753260,Mrs,Joanne,Myhill-Johnson,39
141142,Wiltshire,865,3203,St Bartholomew's Primary Academy,Academy converter,Open,01/09/2014,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,Does not apply,Diocese of Salisbury,Not applicable,Supported by a multi-academy trust,Aston Community Education Trust,-,,Not applicable,,10046730,Not applicable,The Rosary,Royal Wootton Bassett,,Swindon,Wiltshire,SN4 8AZ,www.st-bartholomews.dsat.org.uk,1793853288,Mr,Daniel,Oakes,40
143338,Southend-on-Sea,882,2104,Thorpe Greenways Junior School,Academy converter,Open,01/10/2016,,Primary,7,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,Learning in Harmony Multi Academy Trust,Not applicable,,10057745,Not applicable,Greenways,,,Southend-on-Sea,Essex,SS1 3BS,www.greenways.southend.sch.uk,1702987950,Mr,Ashley,Eastwood,21
135631,Slough,871,6905,The Langley Academy,Academy sponsor led,Open,01/09/2008,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,None,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,The Arbib Foundation,Not applicable,,10024150,Not applicable,Langley Road,Langley,,Slough,Berkshire,SL3 7EF,www.langleyacademy.org,1753214440,Mrs,Alison,Lusuardi,59
141979,Dudley,332,2002,The Bromley-Pensnett Primary School,Academy sponsor led,Open,01/10/2015,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,drb Ignite Limited,Not applicable,,10049495,Not applicable,Bromley,Pensnett,,Brierley Hill,West Midlands,DY5 4PJ,www.bromleyprimary.org.uk,1384816865,,Helen,Coles,79
137770,Warwickshire,937,4190,Aylesford School and Sixth Form College,Academy converter,Open,01/01/2012,,All through,4,18,No boarders,Not applicable,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Comprehensive (secondary),Supported by a single-academy trust,Learning in Harmony Multi Academy Trust,-,,Not applicable,,10035998,Not applicable,Tapping Way,,,Warwick,Warwickshire,CV34 6XR,http://www.aylesfordschool.org.uk,1926747100,Mr,Steve,Hall,59
138829,Norfolk,926,4042,Reepham High School and College,Academy converter,Open,01/10/2012,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,Synergy Academy Trust,Not applicable,,10039052,Not applicable,Whitwell Road,Reepham,,Norwich,Norfolk,NR10 4JT,http://www.reephamhigh.com/,1603870328,Mr,Tim,Gibbs,15
139961,Northamptonshire,928,4014,Wrenn School,Academy sponsor led,Open,01/09/2013,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,None,None,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,The Education Fellowship Trust,Not applicable,,10042706,Not applicable,London Road,,,Wellingborough,Northamptonshire,NN8 2DQ,http://www.wrenn-academy.net,1933222039,Mr,Stephen,Elliott,61
143132,Lincolnshire,925,2040,Theddlethorpe Primary School,Academy sponsor led,Open,01/09/2016,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,,Not applicable,Not applicable,Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,Tollbar Multi Academy Trust,Not applicable,,10057554,,Mill Road,Theddlethorpe,,Mablethorpe,Lincolnshire,LN12 1PB,,1507338215,,Mandy,White,51
140399,Leeds,383,2013,Holy Trinity Church of England Academy,Academy sponsor led,Open,01/04/2014,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Church of England,None,Diocese of Leeds (ce),,Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,Abbey Multi Academy Trust,Not applicable,,10044176,Not applicable,Queensway,Rothwell,,Leeds,West Yorkshire,LS26 0NB,www.holytrinityce.co.uk,1138591842,Mr,Darren,Foulke,64
143239,Leeds,383,2328,Swillington Primary School,Academy converter,Open,01/09/2016,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,None,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,-,,Not applicable,,10057825,Not applicable,Church Lane,Swillington,,Leeds,West Yorkshire,LS26 8DX,www.swillington.leeds.sch.uk/,1132863220,Mrs,Sallie,Elliott,93
138663,Nottingham,892,2118,Whitemoor Academy (Primary and Nursery),Academy converter,Open,01/09/2012,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,Shine,Not applicable,,10038665,Not applicable,Bracknell Crescent,Whitemoor Estate,,Nottingham,Nottinghamshire,NG8 5FF,www.whitemooracademy.co.uk/,1159786351,,Jacqueline,Hill,99
137938,Hertfordshire,919,5412,Nicholas Breakspear Catholic School,Academy converter,Open,01/03/2012,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,Roman Catholic,Does not apply,Archdiocese of Westminster,Comprehensive (secondary),Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,-,,Not applicable,,10036753,Not applicable,Colney Heath Lane,,,St Albans,Hertfordshire,AL4 0TT,http://www.nicholasbreakspearschool.co.uk/,1727860079,Mr,Declan,Linnane,83
138906,Leicestershire,855,2331,Holywell Primary School,Academy converter,Open,01/11/2012,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a single-academy trust,Learning in Harmony Multi Academy Trust,-,,Not applicable,,10039069,Not applicable,Berkeley Road,,,Loughborough,Leicestershire,LE11 3SJ,http://www.holywell.leics.sch.uk/,1509231347,Mrs,Mia,Ings,16
142058,Norfolk,926,4020,Sewell Park Academy,Academy sponsor led,Open,01/09/2015,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,None,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,Rightforsuccess Trust,Not applicable,,10049652,Not applicable,St Clement's Hill,,,Norwich,Norfolk,NR3 4BX,www.sewellpark.org,1603411721,Mrs,Penny,Bignell,87
141131,Wirral,344,4000,The Kingsway Academy,Academy sponsor led,Open,01/02/2015,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,Does not apply,None,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,Northern Schools Trust,Not applicable,,10046648,Not applicable,Birket Avenue,Moreton,,Wirral,Merseyside,CH46 1RB,,1516777825,Mrs,Shelagh,Potter,20
136932,Bexley,303,2020,Willow Bank Primary School,Academy sponsor led,Open,01/09/2011,,Primary,4,11,No boarders,Not applicable,Not applicable,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,The Woodland Academy Trust,Not applicable,,10035005,Not applicable,Seacourt Road,Thamesmead,,London,,SE2 9XB,www.woodlandacademytrust.co.uk,2083201900,Mr,Brian,Simber,64
136281,Bromley,305,5406,Kemnal Technology College,Academy converter,Open,01/09/2010,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Boys,None,Does not apply,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Learning in Harmony Multi Academy Trust,Linked to a sponsor,The Kemnal Academies Trust,Not applicable,,10031350,Not applicable,Sevenoaks Way,,,Sidcup,Kent,DA14 5AA,http://www.ktc-tkat.org,2083007112,Mr,Rob,Pett,81
139749,Worcestershire,885,2078,Honeybourne First School,Academy converter,Open,01/06/2013,,Primary,5,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a single-academy trust,Learning in Harmony Multi Academy Trust,-,,Not applicable,,10041410,Not applicable,School Street,Honeybourne,,Evesham,Worcestershire,WR11 7PJ,www.honeybourneacademyschool.co.uk,1386830462,Mrs,Elaine,Huntington,45
136628,Nottinghamshire,891,4328,The West Bridgford School,Academy converter,Open,01/04/2011,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,None,Does not apply,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,East Midlands Education Trust,-,,Not applicable,,10033343,Not applicable,Loughborough Road,West Bridgford,,Nottingham,Nottinghamshire,NG2 7FA,http://www.wbs.school,1159744488,Mr,Robert,McDonough,74
139254,Kent,886,2019,Chantry Community Academy,Academy sponsor led,Open,01/06/2013,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,East Midlands Education Trust,Linked to a sponsor,Greenacre Academy Trust,Not applicable,,10040148,Not applicable,Ordnance Road,,,Gravesend,Kent,DA12 2RL,http://greenacreacademytrust.co.uk/chantry/,1474350011,Mrs,Kathryn,Duncan,46
140252,Milton Keynes,826,1109,Bridge Academy,Academy alternative provision converter,Open,01/10/2013,,Not applicable,11,16,Not applicable,Not applicable,Not applicable,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,East Midlands Education Trust,Linked to a sponsor,Stephenson Trust,Not applicable,,10043467,Not applicable,Crosslands,Stantonbury,,Milton Keynes,Buckinghamshire,MK14 6AX,,1908889400,Dr,Neil,Barrett,4
140841,Croydon,306,2085,Rowdown Primary School,Academy sponsor led,Open,01/06/2014,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,East Midlands Education Trust,Linked to a sponsor,Fairchildes Primary School,Not applicable,,10045834,Not applicable,Calley Down Crescent,New Addington,,Croydon,Surrey,CR0 0EG,www.rowdown.croydon.sch.uk/,1689843367,Mrs,Katy,Doe,86
136887,Cambridgeshire,873,4029,Chesterton Community College,Academy converter,Open,01/07/2011,,Secondary,11,16,No boarders,Not applicable,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,East Midlands Education Trust,-,,Not applicable,,10034163,Not applicable,Gilbert Road,,,Cambridge,Cambridgeshire,CB4 3NY,http://chestertoncc.net/,1223712150,Mrs,Lucy,Scott,56
141328,Essex,881,4015,Forest Hall School,Academy sponsor led,Open,01/02/2015,,Secondary,11,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,East Midlands Education Trust,Linked to a sponsor,Burnt Mill Academy Trust,Not applicable,,10047446,Not applicable,Forest Hall Road,,,Stansted Mountfitchet,Essex,CM24 8TZ,http://www.fhs.essex.sch.uk/,1279813384,Mr,Stephen,Hehir,77
144497,Kent,886,4018,SchoolsCompany The Goodwin Academy,Academy sponsor led,Open,01/07/2016,,Secondary,11,18,Not applicable,Not applicable,Has a sixth form,Mixed,None,Does not apply,,,Supported by a multi-academy trust,East Midlands Education Trust,-,,Not applicable,,10063169,,Mill Road,,,Deal,Kent,CT14 9BD,www.goodwinacademy.org.uk,1304403103,Mr,Simon,Smith,10
136899,Hertfordshire,919,5404,Parmiter's School,Academy converter,Open,01/07/2011,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,None,Does not apply,Not applicable,Comprehensive (secondary),Supported by a single-academy trust,East Midlands Education Trust,-,,Not applicable,,10034176,Not applicable,High Elms Lane,Garston,,Watford,Hertfordshire,WD25 0UU,http://www.parmiters.herts.sch.uk,1923671424,Mr,Nick,Daymond,16
140325,Portsmouth,851,7471,Mary Rose School,Academy special converter,Open,01/11/2013,,Not applicable,2,19,No boarders,Has Nursery Classes,Has a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,East Midlands Education Trust,Linked to a sponsor,Mary Rose School,Not applicable,,10043918,Not applicable,Gisors Road,Southsea,,Portsmouth,Hampshire,PO4 8GT,,2392852330,,Alison,Beane,38
141397,Nottingham,892,2014,Brocklewood Primary and Nursery School,Academy sponsor led,Open,01/01/2015,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,East Midlands Education Trust,Linked to a sponsor,Transform Trust,Not applicable,,10047533,Not applicable,Fircroft Avenue,Bilborough,,Nottingham,Nottinghamshire,NG8 3AL,www.brocklewoodprimaryschool.co.uk,1159155731,Mrs,Heather,Tarrant,81
141720,Kingston upon Hull City of,810,2660,Stockwell Academy,Academy converter,Open,01/02/2015,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,East Midlands Education Trust,Linked to a sponsor,Diocese of York Educational Trust,Not applicable,,10048694,Not applicable,Dodswell Grove,Greatfield Estate,,Hull,East Yorkshire,HU9 5HY,www.stockwell.hull.sch.uk/,1482782122,Mr,Christy,Coulter,5
144062,Cornwall,908,2625,Warbstow Community School,Academy converter,Open,01/04/2017,,Primary,2,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,ASPIRE Academy Trust,-,,Not applicable,,10063082,Not applicable,Warbstow,,,Launceston,Cornwall,PL15 8UP,www.warbstow.cornwall.sch.uk,1566781388,Mrs,Dominique,Dyer,78
142579,Somerset,933,2021,Nunney First School,Academy sponsor led,Open,01/06/2016,,Primary,5,9,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,ASPIRE Academy Trust,Linked to a sponsor,The Partnership Trust,Not applicable,,10055389,,Catch Road,Nunney,,Frome,Somerset,BA11 4NE,nunneyfirstschool.co.uk,1373836429,Miss,Susan,Heal,56
137532,Hertfordshire,919,5415,Goffs School,Academy converter,Open,01/10/2011,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Mixed,None,Does not apply,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,ASPIRE Academy Trust,-,,Not applicable,,10035495,Not applicable,Goffs Lane,Cheshunt,,Waltham Cross,Hertfordshire,EN7 5QW,http://www.goffs.herts.sch.uk/,1992424200,Ms,Alison,Garner,83
137108,Essex,881,2578,Lee Chapel Primary School,Academy converter,Open,01/08/2011,,Primary,2,11,No boarders,Has Nursery Classes,Not applicable,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,ASPIRE Academy Trust,Linked to a sponsor,Lee Chapel Academy Trust,Not applicable,,10034677,Not applicable,The Knares,,,Basildon,Essex,SS16 5RU,www.leechapel.essex.sch.uk,1268474177,Mrs,Sue,Jackson,40
140417,Stockport,356,2010,St Matthew's Church of England Primary School,Academy sponsor led,Open,01/01/2014,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Church of England,Church of England,Diocese of Chester,Not applicable,Supported by a multi-academy trust,ASPIRE Academy Trust,Linked to a sponsor,Diocese of Chester,Not applicable,,10044326,Not applicable,Bowdon Street,Edgeley,,Stockport,Cheshire,SK3 9EA,www.cdatstmatthewsprimary.co.uk/,1614747110,Mrs,Jacqueline,Band,45
