URN,LA (name),LA (code),EstablishmentNumber,EstablishmentName,TypeOfEstablishment (name),EstablishmentStatus (name),OpenDate,CloseDate,PhaseOfEducation (name),StatutoryLowAge,StatutoryHighAge,Boarders (name),NurseryProvision (name),OfficialSixthForm (name),Gender (name),ReligiousCharacter (name),ReligiousEthos (name),Diocese (name),AdmissionsPolicy (name),TrustSchoolFlag (name),Trusts (name),SchoolSponsorFlag (name),SchoolSponsors (name),FederationFlag (name),Federations (name),UKPRN,FurtherEducationType (name),Street,Locality,Address3,Town,County (name),Postcode,SchoolWebsite,TelephoneNum,HeadTitle (name),HeadFirstName,HeadLastName,Rand
141262,East Sussex,845,2170,Hollington Primary Academy,Academy converter,Open,01/09/2014,,Primary,2,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Samuel Ward Academy Trust,-,,Not applicable,,10047159,Not applicable,Hollington Old Lane,,,St Leonards-on-Sea,East Sussex,TN38 9DS,www.hollingtonprimaryacademy.org.uk/,1424851783,,John,Smith,29
136448,Reading,870,5413,Kendrick School,Academy converter,Open,01/02/2011,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Girls,None,Does not apply,Not applicable,Selective (grammar),Supported by a single-academy trust,Samuel Ward Academy Trust,-,,Not applicable,,10032955,Not applicable,London Road,,,Reading,Berkshire,RG1 5BN,http://www.kendrick.reading.sch.uk/,1189015859,,Christine,Kattirtzi,48
139256,Oxfordshire,931,2005,Windale Community Primary School,Academy sponsor led,Open,01/08/2013,,Primary,3,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,Samuel Ward Academy Trust,Linked to a sponsor,Blackbird Academy Trust,Not applicable,,10040133,Not applicable,Windale Avenue,Blackbird Leys,,Oxford,Oxfordshire,OX4 6JD,www.windaleprimary.com/,1865777796,Ms,Katie,Geran-Haq,65
139252,Essex,881,2032,Messing Primary School,Academy sponsor led,Open,01/09/2013,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,Samuel Ward Academy Trust,Linked to a sponsor,New Hall Academy Trust,Not applicable,,10040139,Not applicable,School Road,Messing,,Colchester,Essex,CO5 9TH,www.messingprimaryschool.co.uk/,1621815415,,Jackie,Halliday,12
144083,East Sussex,845,2025,Ark Castledown Primary Academy,Academy sponsor led,Open,01/09/2017,,Primary,2,11,No boarders,Has Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Samuel Ward Academy Trust,Linked to a sponsor,ARK Schools,Not applicable,,10064728,Not applicable,Priory Road,,,Hastings,East Sussex,TN34 3QT,http://www.arkcastledown.org,1424444046,Ms,Lorraine,Burns,8
138616,Dorset,835,4187,The Wey Valley School,Academy converter,Open,01/09/2012,,Secondary,11,16,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,None,Does not apply,Not applicable,Comprehensive (secondary),Supported by a single-academy trust,Samuel Ward Academy Trust,-,,Not applicable,,10038675,Not applicable,Dorchester Road,,,Weymouth,Dorset,DT3 5AN,http://www.weyvalley.dorset.sch.uk,1305817000,Ms,Sara,Adams,40
136789,Sutton,319,5405,Wallington High School for Girls,Academy converter,Open,01/06/2011,,Secondary,11,18,No boarders,Not applicable,Has a sixth form,Girls,None,Does not apply,Not applicable,Selective (grammar),Supported by a multi-academy trust,Samuel Ward Academy Trust,-,,Not applicable,,10033802,Not applicable,Woodcote Road,,,Wallington,Surrey,SM6 0PH,http://www.wallingtongirls.sutton.sch.uk/,2086472380,Mr,Richard,Booth,34
139061,Northamptonshire,928,2052,The Arbours Primary Academy,Academy sponsor led,Open,01/01/2013,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,None,Not applicable,Not applicable,Supported by a multi-academy trust,Samuel Ward Academy Trust,Linked to a sponsor,The David Ross Education Trust,Not applicable,,10039894,Not applicable,St Gregory's Road,The Arbours,,Northampton,Northamptonshire,NN3 3QF,www.arboursacademy.co.uk,1604410242,Ms,Trudy,Cotchin,5
138623,Wiltshire,865,5405,St John's Marlborough,Academy converter,Open,01/09/2012,,Secondary,11,18,No boarders,No Nursery Classes,Has a sixth form,Mixed,None,Does not apply,Not applicable,Comprehensive (secondary),Supported by a multi-academy trust,Samuel Ward Academy Trust,-,,Not applicable,,10038597,Not applicable,Granham Hill,,,Marlborough,Wiltshire,SN8 4AX,http://www.stjohns.wilts.sch.uk,1672516156,Mrs,Nicky,Edmondson,32
144065,Croydon,306,2043,St Peter's Primary School,Academy converter,Open,01/04/2017,,Primary,4,11,No boarders,No Nursery Classes,Does not have a sixth form,Mixed,Does not apply,Does not apply,Not applicable,Not applicable,Supported by a multi-academy trust,Samuel Ward Academy Trust,-,,Not applicable,,10063080,Not applicable,Normanton Road,,,South Croydon,Surrey,CR2 7AR,www.st-petersprimary.co.uk/,2086885414,Mr,Paul,Thomas,3
